Review_Text,Sentiment_numeric,Sentiment
So there is no way for me to plug it in here in the US unless I go by a converter. ,0,Negative
"Good case, Excellent value.    ",1,Positive
Great for the jawbone.  ,1,Positive
Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!! ,0,Negative
The mic is great.       ,1,Positive
I have to jiggle the plug to get it to line up right to get decent volume.      ,0,Negative
"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one. ",0,Negative
If you are Razr owner...you must have this!     ,1,Positive
"Needless to say, I wasted my money.     ",0,Negative
What a waste of money and time!.        ,0,Negative
And the sound quality is great. ,1,Positive
He was very impressed when going from the original battery to the extended battery.     ,1,Positive
If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.      ,0,Negative
Very good quality though        ,1,Positive
"The design is very odd, as the ear ""clip"" is not very comfortable at all.      ",0,Negative
Highly recommend for any one who has a blue tooth phone.        ,1,Positive
I advise EVERYONE DO NOT BE FOOLED!     ,0,Negative
So Far So Good!.        ,1,Positive
Works great!.   ,1,Positive
It clicks into place in a way that makes you wonder how long that mechanism would last. ,0,Negative
"I went on Motorola's website and followed all directions, but could not get it to pair again.   ",0,Negative
I bought this to use with my Kindle Fire and absolutely loved it!       ,1,Positive
The commercials are the most misleading.        ,0,Negative
I have yet to run this new battery below two bars and that's three days without charging.       ,1,Positive
I bought it for my mother and she had a problem with the battery.       ,0,Negative
Great Pocket PC / phone combination.    ,1,Positive
I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.    ,1,Positive
I didn't think that the instructions provided were helpful to me.       ,0,Negative
People couldnt hear me talk and I had to pull out the earphone and talk on the phone.   ,0,Negative
Doesn't hold charge.    ,0,Negative
"This is a simple little phone to use, but the breakage is unacceptible. ",0,Negative
This product is ideal for people like me whose ears are very sensitive. ,1,Positive
It is unusable in a moving car at freeway speed.        ,0,Negative
I have two more years left in this contract and I hate this phone.      ,0,Negative
Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended       ,1,Positive
You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.     ,0,Negative
It has kept up very well.       ,1,Positive
Poor Talk Time Performance.    ,0,Negative
The case is great and works fine with the 680.  ,1,Positive
worthless product.      ,0,Negative
"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.    ",1,Positive
I was not impressed by this product.    ,0,Negative
Nice headset priced right.      ,1,Positive
I only hear garbage for audio.  ,0,Negative
Excellent bluetooth headset.    ,1,Positive
It has all the features I want  ,1,Positive
Who in their right mind is gonna buy this battery?.     ,0,Negative
AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.   ,0,Negative
This case seems well made.      ,1,Positive
Disappointed with battery.      ,0,Negative
Not loud enough and doesn't turn on like it should.     ,0,Negative
good protection and does not make phone too bulky.      ,1,Positive
A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.  ,1,Positive
This phone is pretty sturdy and I've never had any large problems with it.      ,1,Positive
I love this thing!      ,1,Positive
Everything about it is fine and reasonable for the price i.e.   ,1,Positive
VERY DISAPPOINTED.      ,0,Negative
I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!   ,1,Positive
I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.    ,1,Positive
The buttons for on and off are bad.     ,0,Negative
Essentially you can forget Microsoft's tech support.    ,0,Negative
"I really recommend this faceplates since it looks very nice, elegant and cool.  ",1,Positive
These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.    ,1,Positive
Buy a different phone - but not this.   ,0,Negative
You have to hold the phone at a particular angle for the other party to hear you clearly.       ,0,Negative
The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.   ,0,Negative
"A week later after I activated it, it suddenly died.    ",0,Negative
It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes. ,1,Positive
Great for iPODs too.    ,1,Positive
This device is great in several situations:,1,Positive
Mic Doesn't work.       ,0,Negative
"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.  ",0,Negative
Great choice!   ,1,Positive
Nice docking station for home or work.  ,1,Positive
This is a beautiful phone.      ,1,Positive
Love this product.      ,1,Positive
Do Not Buy for D807...wrongly advertised for D807.      ,0,Negative
This is a great little item.    ,1,Positive
"I love this phone , It is very handy and has a lot of features .        ",1,Positive
I purchased this and within 2 days it was no longer working!!!!!!!!!    ,0,Negative
I wear it everyday and it holds up very well.   ,1,Positive
Not a good bargain.     ,0,Negative
"Well packaged, arrived on time, and works as intended.  ",1,Positive
The battery runs down quickly.  ,0,Negative
"This item worked great, but it broke after 6 months of use.     ",0,Negative
The headsets are easy to use and everyone loves them.   ,1,Positive
This phone works great. ,1,Positive
The construction of the headsets is poor.       ,0,Negative
Product was excellent and works better than the verizon one and Boy was it cheaper!     ,1,Positive
The phone loads super!  ,1,Positive
"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.   ",0,Negative
Made very sturdy.       ,1,Positive
Worked great!.  ,1,Positive
The ear buds only play music in one ear.        ,0,Negative
Dont waste your money...        ,0,Negative
Will order from them again!     ,1,Positive
If you plan to use this in a car forget about it.       ,0,Negative
I found this product to be waaay too big.       ,0,Negative
Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.    ,1,Positive
I'm very disappointed with my decision. ,0,Negative
